T18Eval-00001	N23812994	1	1.0000	Baseline-TOFS
T18Eval-00001	E99990997	2	0.5000	Baseline-TOFS
T18Eval-00001	B99990565	3	0.3333	Baseline-TOFS
T18Eval-00001	A99990750	4	0.2500	Baseline-TOFS
T18Eval-00001	A99990003	5	0.2000	Baseline-TOFS
T18Eval-00001	N23813082	6	0.1667	Baseline-TOFS
T18Eval-00001	M99990227	7	0.1429	Baseline-TOFS
T18Eval-00001	N23813004	8	0.1250	Baseline-TOFS
T18Eval-00001	M99990981	9	0.1111	Baseline-TOFS
T18Eval-00001	J99990328	10	0.1000	Baseline-TOFS
T18Eval-00001	B99990858	11	0.0909	Baseline-TOFS
T18Eval-00001	F99990365	12	0.0833	Baseline-TOFS
T18Eval-00001	A99990449	13	0.0769	Baseline-TOFS
T18Eval-00001	A99990688	14	0.0714	Baseline-TOFS
T18Eval-00001	D99990185	15	0.0667	Baseline-TOFS
T18Eval-00001	M99990990	16	0.0625	Baseline-TOFS
T18Eval-00001	D99990909	17	0.0588	Baseline-TOFS
T18Eval-00001	B99990864	18	0.0556	Baseline-TOFS
T18Eval-00001	K99990819	19	0.0526	Baseline-TOFS
T18Eval-00001	K99990324	20	0.0500	Baseline-TOFS
T18Eval-00001	N23812897	21	0.0476	Baseline-TOFS
T18Eval-00001	M99990937	22	0.0455	Baseline-TOFS
T18Eval-00001	G99990391	23	0.0435	Baseline-TOFS
T18Eval-00001	M99990442	24	0.0417	Baseline-TOFS
T18Eval-00001	E99990007	25	0.0400	Baseline-TOFS
T18Eval-00001	A99990133	26	0.0385	Baseline-TOFS
T18Eval-00001	E99990956	27	0.0370	Baseline-TOFS
T18Eval-00001	N23813089	28	0.0357	Baseline-TOFS
T18Eval-00001	N23812850	29	0.0345	Baseline-TOFS
T18Eval-00001	N23813000	30	0.0333	Baseline-TOFS
T18Eval-00001	B99990713	31	0.0323	Baseline-TOFS
T18Eval-00001	F99990887	32	0.0312	Baseline-TOFS
T18Eval-00001	N23813024	33	0.0303	Baseline-TOFS
T18Eval-00001	N23812969	34	0.0294	Baseline-TOFS
T18Eval-00001	D99990251	35	0.0286	Baseline-TOFS
T18Eval-00001	A99990455	36	0.0278	Baseline-TOFS
T18Eval-00001	B99990776	37	0.0270	Baseline-TOFS
T18Eval-00001	D99990624	38	0.0263	Baseline-TOFS
T18Eval-00001	N23813042	39	0.0256	Baseline-TOFS
T18Eval-00001	N23813068	40	0.0250	Baseline-TOFS
T18Eval-00001	J99990006	41	0.0244	Baseline-TOFS
T18Eval-00001	N23813067	42	0.0238	Baseline-TOFS
T18Eval-00001	M99990499	43	0.0233	Baseline-TOFS
T18Eval-00001	A99990590	44	0.0227	Baseline-TOFS
T18Eval-00001	M99990112	45	0.0222	Baseline-TOFS
T18Eval-00001	G99990964	46	0.0217	Baseline-TOFS
T18Eval-00001	N23813120	47	0.0213	Baseline-TOFS
T18Eval-00001	N23812956	48	0.0208	Baseline-TOFS
T18Eval-00001	N23813053	49	0.0204	Baseline-TOFS
T18Eval-00001	M99990031	50	0.0200	Baseline-TOFS
T18Eval-00001	A99990803	51	0.0196	Baseline-TOFS
T18Eval-00001	N23813129	52	0.0192	Baseline-TOFS
T18Eval-00001	E99990219	53	0.0189	Baseline-TOFS
